Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
1321389,07/09/2006 12:00 AM,07/09/2006 12:00 AM,NYPD,New York City Police Department,Noise - Commercial,N/A,Store/Commercial,10013,89 MULBERRY STREET,MULBERRY STREET,BAYARD STREET,CANAL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,,,03 MANHATTAN,MANHATTAN,984564,200379,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71667079625185,-73.99886729082509,"(40.71667079625185, -73.99886729082509)"
1321619,07/10/2006 12:00 AM,07/10/2006 12:00 AM,NYPD,New York City Police Department,Noise - Commercial,N/A,Store/Commercial,10025,315 WEST 94 STREET,WEST 94 STREET,WEST END AVENUE,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,Precinct,Closed,,,07 MANHATTAN,MANHATTAN,991262,228618,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.79417688297565,-73.97467578414009,"(40.79417688297565, -73.97467578414009)"
1321723,07/09/2006 12:00 AM,07/09/2006 12:00 AM,NYPD,New York City Police Department,Noise - Commercial,N/A,Store/Commercial,10031,,,,,BROADWAY,WEST 152 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,,,09 MANHATTAN,MANHATTAN,998855,241981,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8308453010717,-73.94722418384823,"(40.8308453010717, -73.94722418384823)"
1321725,07/08/2006 12:00 AM,07/08/2006 12:00 AM,NYPD,New York City Police Department,Noise - Commercial,N/A,Store/Commercial,10040,4474 BROADWAY,BROADWAY,FAIRVIEW AVENUE,WEST 192 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,,,12 MANHATTAN,MANHATTAN,1002963,251595,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85722515714866,-73.93235292016915,"(40.85722515714866, -73.93235292016915)"
1321531,07/09/2006 12:00 AM,07/09/2006 12:00 AM,NYPD,New York City Police Department,Noise - Commercial,N/A,Store/Commercial,10009,113 AVENUE A,AVENUE A,EAST 7 STREET,ST MARK'S PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,,,03 MANHATTAN,MANHATTAN,988841,203852,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.726202157013944,-73.98343626872602,"(40.726202157013944, -73.98343626872602)"
1320900,07/08/2006 12:00 AM,07/08/2006 12:00 AM,NYPD,New York City Police Department,Noise - Commercial,N/A,Store/Commercial,10029,72 EAST 97 STREET,EAST 97 STREET,MADISON AVENUE,PARK AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,,,11 MANHATTAN,MANHATTAN,997271,226225,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.787601931762445,-73.95297859922438,"(40.787601931762445, -73.95297859922438)"
1321800,07/10/2006 12:00 AM,07/10/2006 12:00 AM,NYPD,New York City Police Department,Noise - Commercial,N/A,Store/Commercial,10029,2122 2 AVENUE,2 AVENUE,EAST 109 STREET,EAST 110 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,,,11 MANHATTAN,MANHATTAN,1000599,228063,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.79264121666656,-73.94095606384037,"(40.79264121666656, -73.94095606384037)"
1321816,07/08/2006 12:00 AM,07/08/2006 12:00 AM,NYPD,New York City Police Department,Noise - Commercial,N/A,Store/Commercial,10003,27 ST MARKS PLACE,ST MARKS PLACE,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,,,03 MANHATTAN,MANHATTAN,987455,204847,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72893380027083,-73.98843630261375,"(40.72893380027083, -73.98843630261375)"
1716842,07/09/2006 12:00 AM,07/09/2006 12:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,N/A,N/A,10002,72 COLUMBIA STREET,COLUMBIA STREET,DELANCEY STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,,,03 MANHATTAN,MANHATTAN,989750,200576,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.717209809963755,-73.98015939204615,"(40.717209809963755, -73.98015939204615)"
1717844,07/08/2006 12:00 AM,07/09/2006 12:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,N/A,N/A,10026,312 WEST 118 STREET,WEST 118 STREET,8 AVENUE,MANHATTAN AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,,,10 MANHATTAN,MANHATTAN,996719,232908,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.80594574484852,-73.95495957086293,"(40.80594574484852, -73.95495957086293)"
