Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
22591908,01/25/2012 12:00 AM,01/25/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10128,1695 2 AVENUE,2 AVENUE,EAST 87 STREET,EAST 88 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,08 MANHATTAN,MANHATTAN,997837,223089,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77899359493101,-73.95094100436678,"(40.77899359493101, -73.95094100436678)"
22426936,12/31/2011 12:00 AM,12/31/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10022,400 EAST 57 STREET,EAST 57 STREET,1 AVENUE,SUTTON PLACE,,,ADDRESS,NEW YORK,,N/A,Closed,,,06 MANHATTAN,MANHATTAN,994613,215497,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.758159897134526,-73.96259370386208,"(40.758159897134526, -73.96259370386208)"
23433698,06/16/2012 12:00 AM,06/16/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10029,,,,,EAST  110 STREET,2 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,,11 MANHATTAN,MANHATTAN,1000708,228262,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79318721548483,-73.94056192598961,"(40.79318721548483, -73.94056192598961)"
22363896,12/20/2011 12:00 AM,12/20/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10028,320 EAST 86 STREET,EAST 86 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,,08 MANHATTAN,MANHATTAN,997806,222572,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7775746141321,-73.95105398005762,"(40.7775746141321, -73.95105398005762)"
22638158,02/01/2012 12:00 AM,02/01/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10014,18 9 AVENUE,9 AVENUE,LITTLE WEST 12 STREET,WEST 13 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,02 MANHATTAN,MANHATTAN,982598,208920,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74011360831931,-74.0059614457069,"(40.74011360831931, -74.0059614457069)"
22609507,01/27/2012 12:00 AM,01/27/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10036,618 WEST 46 STREET,WEST 46 STREET,11 AVENUE,12 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,,04 MANHATTAN,MANHATTAN,985073,217480,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.763608757992756,-73.99702905535511,"(40.763608757992756, -73.99702905535511)"
22681380,02/08/2012 12:00 AM,02/08/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10036,510 WEST 42 STREET,WEST 42 STREET,AMTRAK RAILROAD,11 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,,04 MANHATTAN,MANHATTAN,985180,216206,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76011194486901,-73.99664297270249,"(40.76011194486901, -73.99664297270249)"
22424904,12/30/2011 12:00 AM,12/30/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10002,253 BROOME STREET,BROOME STREET,LUDLOW STREET,ORCHARD STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,03 MANHATTAN,MANHATTAN,987030,200877,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.718037255561356,-73.98997135008608,"(40.718037255561356, -73.98997135008608)"
22609438,01/27/2012 12:00 AM,01/27/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10036,401 WEST 48 STREET,WEST 48 STREET,9 AVENUE,10 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,,04 MANHATTAN,MANHATTAN,986941,217048,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76242265800744,-73.99028594206287,"(40.76242265800744, -73.99028594206287)"
23198851,05/09/2012 12:00 AM,05/09/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10040,112 DYCKMAN STREET,DYCKMAN STREET,NAGLE AVENUE,POST AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,,12 MANHATTAN,MANHATTAN,1004992,253335,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86199639870839,-73.92501274901264,"(40.86199639870839, -73.92501274901264)"
22581771,01/23/2012 12:00 AM,01/23/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10012,130 WEST 3 STREET,WEST 3 STREET,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,N/A,Closed,,,02 MANHATTAN,MANHATTAN,984036,205505,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.730740427410105,-74.00077213676278,"(40.730740427410105, -74.00077213676278)"
23200938,05/09/2012 12:00 AM,05/09/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10014,234 WEST 4 STREET,WEST 4 STREET,WEST 10 STREET,CHARLES STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,02 MANHATTAN,MANHATTAN,983416,206820,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73434974274908,-74.00300933150363,"(40.73434974274908, -74.00300933150363)"
21602025,10/08/2011 12:00 AM,10/08/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10009,171 AVENUE C,AVENUE C,EAST 10 STREET,EAST 11 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,10/08/2011 12:00 AM,03 MANHATTAN,MANHATTAN,990542,203853,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.726203855395745,-73.97729928112015,"(40.726203855395745, -73.97729928112015)"
21869898,11/13/2011 12:00 AM,11/13/2011 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10016,411 THIRD AVENUE,THIRD AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,,06 MANHATTAN,MANHATTAN,989652,209769,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74244240641559,-73.9805055353544,"(40.74244240641559, -73.9805055353544)"
23429085,06/15/2012 12:00 AM,06/15/2012 12:00 AM,3-1-1,3-1-1 Call Center,Noise Survey,People Created Noise,Bar/Restaurant,10029,,,,,EAST  110 STREET,2 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,,11 MANHATTAN,MANHATTAN,1000708,228262,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79318721548483,-73.94056192598961,"(40.79318721548483, -73.94056192598961)"
